Hour_Counter,2-hr,4-hr,8-hr,12-hr,24-hr,48-hr,120-hr
514,257,129,65,43,22,11,5
515,258,129,65,43,22,11,5
516,258,129,65,43,22,11,5
517,259,130,65,44,22,11,5
518,259,130,65,44,22,11,5
519,260,130,65,44,22,11,5
520,260,130,65,44,22,11,5
521,261,131,66,44,22,11,5
522,261,131,66,44,22,11,5
523,262,131,66,44,22,11,5
524,262,131,66,44,22,11,5
525,263,132,66,44,22,11,5
526,263,132,66,44,22,11,5
527,264,132,66,44,22,11,5
528,264,132,66,44,22,11,5
529,265,133,67,45,23,12,5
530,265,133,67,45,23,12,5
531,266,133,67,45,23,12,5
532,266,133,67,45,23,12,5
533,267,134,67,45,23,12,5
534,267,134,67,45,23,12,5
535,268,134,67,45,23,12,5
536,268,134,67,45,23,12,5
537,269,135,68,45,23,12,5
538,269,135,68,45,23,12,5
539,270,135,68,45,23,12,5
540,270,135,68,45,23,12,5
541,271,136,68,46,23,12,5
542,271,136,68,46,23,12,5
543,272,136,68,46,23,12,5
544,272,136,68,46,23,12,5
545,273,137,69,46,23,12,5
546,273,137,69,46,23,12,5
547,274,137,69,46,23,12,5
548,274,137,69,46,23,12,5
549,275,138,69,46,23,12,5
550,275,138,69,46,23,12,5
551,276,138,69,46,23,12,5
552,276,138,69,46,23,12,5
553,277,139,70,47,24,12,5
554,277,139,70,47,24,12,5
555,278,139,70,47,24,12,5
556,278,139,70,47,24,12,5
557,279,140,70,47,24,12,5
558,279,140,70,47,24,12,5
559,280,140,70,47,24,12,5
560,280,140,70,47,24,12,5
561,281,141,71,47,24,12,5
562,281,141,71,47,24,12,5
563,282,141,71,47,24,12,5
564,282,141,71,47,24,12,5
565,283,142,71,48,24,12,5
566,283,142,71,48,24,12,5
567,284,142,71,48,24,12,5
568,284,142,71,48,24,12,5
569,285,143,72,48,24,12,5
570,285,143,72,48,24,12,5
571,286,143,72,48,24,12,5
572,286,143,72,48,24,12,5
573,287,144,72,48,24,12,5
574,287,144,72,48,24,12,5
575,288,144,72,48,24,12,5
576,288,144,72,48,24,12,5
577,289,145,73,49,25,13,5
578,289,145,73,49,25,13,5
579,290,145,73,49,25,13,5
580,290,145,73,49,25,13,5
581,291,146,73,49,25,13,5
582,291,146,73,49,25,13,5
583,292,146,73,49,25,13,5
584,292,146,73,49,25,13,5
585,293,147,74,49,25,13,5
586,293,147,74,49,25,13,5
587,294,147,74,49,25,13,5
588,294,147,74,49,25,13,5
589,295,148,74,50,25,13,5
590,295,148,74,50,25,13,5
591,296,148,74,50,25,13,5
592,296,148,74,50,25,13,5
593,297,149,75,50,25,13,5
594,297,149,75,50,25,13,5
595,298,149,75,50,25,13,5
596,298,149,75,50,25,13,5
597,299,150,75,50,25,13,5
598,299,150,75,50,25,13,5
599,300,150,75,50,25,13,5
600,300,150,75,50,25,13,5
601,301,151,76,51,26,13,6
602,301,151,76,51,26,13,6
603,302,151,76,51,26,13,6
604,302,151,76,51,26,13,6
605,303,152,76,51,26,13,6
606,303,152,76,51,26,13,6
607,304,152,76,51,26,13,6
608,304,152,76,51,26,13,6
609,305,153,77,51,26,13,6
610,305,153,77,51,26,13,6
611,306,153,77,51,26,13,6
612,306,153,77,51,26,13,6
613,307,154,77,52,26,13,6
614,307,154,77,52,26,13,6
615,308,154,77,52,26,13,6
616,308,154,77,52,26,13,6
617,309,155,78,52,26,13,6
618,309,155,78,52,26,13,6
619,310,155,78,52,26,13,6
620,310,155,78,52,26,13,6
621,311,156,78,52,26,13,6
622,311,156,78,52,26,13,6
623,312,156,78,52,26,13,6
624,312,156,78,52,26,13,6
625,313,157,79,53,27,14,6
626,313,157,79,53,27,14,6
627,314,157,79,53,27,14,6
628,314,157,79,53,27,14,6
629,315,158,79,53,27,14,6
630,315,158,79,53,27,14,6
631,316,158,79,53,27,14,6
632,316,158,79,53,27,14,6
633,317,159,80,53,27,14,6
634,317,159,80,53,27,14,6
635,318,159,80,53,27,14,6
636,318,159,80,53,27,14,6
637,319,160,80,54,27,14,6
638,319,160,80,54,27,14,6
639,320,160,80,54,27,14,6
640,320,160,80,54,27,14,6
641,321,161,81,54,27,14,6
642,321,161,81,54,27,14,6
643,322,161,81,54,27,14,6
644,322,161,81,54,27,14,6
645,323,162,81,54,27,14,6
646,323,162,81,54,27,14,6
647,324,162,81,54,27,14,6
648,324,162,81,54,27,14,6
649,325,163,82,55,28,14,6
650,325,163,82,55,28,14,6
651,326,163,82,55,28,14,6
652,326,163,82,55,28,14,6
653,327,164,82,55,28,14,6
654,327,164,82,55,28,14,6
655,328,164,82,55,28,14,6
656,328,164,82,55,28,14,6
657,329,165,83,55,28,14,6
658,329,165,83,55,28,14,6
659,330,165,83,55,28,14,6
660,330,165,83,55,28,14,6
661,331,166,83,56,28,14,6
662,331,166,83,56,28,14,6
663,332,166,83,56,28,14,6
664,332,166,83,56,28,14,6
665,333,167,84,56,28,14,6
666,333,167,84,56,28,14,6
667,334,167,84,56,28,14,6
668,334,167,84,56,28,14,6
669,335,168,84,56,28,14,6
670,335,168,84,56,28,14,6
671,336,168,84,56,28,14,6
672,336,168,84,56,28,14,6
673,337,169,85,57,29,15,6
674,337,169,85,57,29,15,6
675,338,169,85,57,29,15,6
676,338,169,85,57,29,15,6
677,339,170,85,57,29,15,6
678,339,170,85,57,29,15,6
679,340,170,85,57,29,15,6
680,340,170,85,57,29,15,6
681,341,171,86,57,29,15,6
682,341,171,86,57,29,15,6
683,342,171,86,57,29,15,6
684,342,171,86,57,29,15,6
685,343,172,86,58,29,15,6
686,343,172,86,58,29,15,6
687,344,172,86,58,29,15,6
688,344,172,86,58,29,15,6
689,345,173,87,58,29,15,6
690,345,173,87,58,29,15,6
691,346,173,87,58,29,15,6
692,346,173,87,58,29,15,6
693,347,174,87,58,29,15,6
694,347,174,87,58,29,15,6
695,348,174,87,58,29,15,6
696,348,174,87,58,29,15,6
697,349,175,88,59,30,15,6
698,349,175,88,59,30,15,6
699,350,175,88,59,30,15,6
700,350,175,88,59,30,15,6
701,351,176,88,59,30,15,6
702,351,176,88,59,30,15,6
703,352,176,88,59,30,15,6
704,352,176,88,59,30,15,6
705,353,177,89,59,30,15,6
706,353,177,89,59,30,15,6
707,354,177,89,59,30,15,6
708,354,177,89,59,30,15,6
709,355,178,89,60,30,15,6
710,355,178,89,60,30,15,6
711,356,178,89,60,30,15,6
712,356,178,89,60,30,15,6
713,357,179,90,60,30,15,6
714,357,179,90,60,30,15,6
715,358,179,90,60,30,15,6
716,358,179,90,60,30,15,6
717,359,180,90,60,30,15,6
718,359,180,90,60,30,15,6
719,360,180,90,60,30,15,6
720,360,180,90,60,30,15,6
721,361,181,91,61,31,16,7
722,361,181,91,61,31,16,7
723,362,181,91,61,31,16,7
724,362,181,91,61,31,16,7
725,363,182,91,61,31,16,7
726,363,182,91,61,31,16,7
727,364,182,91,61,31,16,7
728,364,182,91,61,31,16,7
729,365,183,92,61,31,16,7
730,365,183,92,61,31,16,7
731,366,183,92,61,31,16,7
732,366,183,92,61,31,16,7
733,367,184,92,62,31,16,7
734,367,184,92,62,31,16,7
735,368,184,92,62,31,16,7
736,368,184,92,62,31,16,7
737,369,185,93,62,31,16,7
738,369,185,93,62,31,16,7
739,370,185,93,62,31,16,7
740,370,185,93,62,31,16,7
741,371,186,93,62,31,16,7
742,371,186,93,62,31,16,7
743,372,186,93,62,31,16,7
744,372,186,93,62,31,16,7
745,373,187,94,63,32,16,7
746,373,187,94,63,32,16,7
747,374,187,94,63,32,16,7
748,374,187,94,63,32,16,7
749,375,188,94,63,32,16,7
750,375,188,94,63,32,16,7
751,376,188,94,63,32,16,7
752,376,188,94,63,32,16,7
753,377,189,95,63,32,16,7
754,377,189,95,63,32,16,7
755,378,189,95,63,32,16,7
756,378,189,95,63,32,16,7
757,379,190,95,64,32,16,7
758,379,190,95,64,32,16,7
759,380,190,95,64,32,16,7
760,380,190,95,64,32,16,7
761,381,191,96,64,32,16,7
762,381,191,96,64,32,16,7
763,382,191,96,64,32,16,7
764,382,191,96,64,32,16,7
765,383,192,96,64,32,16,7
766,383,192,96,64,32,16,7
767,384,192,96,64,32,16,7
768,384,192,96,64,32,16,7
769,385,193,97,65,33,17,7
770,385,193,97,65,33,17,7
771,386,193,97,65,33,17,7
772,386,193,97,65,33,17,7
773,387,194,97,65,33,17,7
774,387,194,97,65,33,17,7
775,388,194,97,65,33,17,7
776,388,194,97,65,33,17,7
777,389,195,98,65,33,17,7
778,389,195,98,65,33,17,7
779,390,195,98,65,33,17,7
780,390,195,98,65,33,17,7
781,391,196,98,66,33,17,7
782,391,196,98,66,33,17,7
783,392,196,98,66,33,17,7
784,392,196,98,66,33,17,7
785,393,197,99,66,33,17,7
786,393,197,99,66,33,17,7
787,394,197,99,66,33,17,7
788,394,197,99,66,33,17,7
789,395,198,99,66,33,17,7
790,395,198,99,66,33,17,7
791,396,198,99,66,33,17,7
792,396,198,99,66,33,17,7
793,397,199,100,67,34,17,7
794,397,199,100,67,34,17,7
795,398,199,100,67,34,17,7
796,398,199,100,67,34,17,7
797,399,200,100,67,34,17,7
798,399,200,100,67,34,17,7
799,400,200,100,67,34,17,7
800,400,200,100,67,34,17,7
801,401,201,101,67,34,17,7
802,401,201,101,67,34,17,7
803,402,201,101,67,34,17,7
804,402,201,101,67,34,17,7
805,403,202,101,68,34,17,7
806,403,202,101,68,34,17,7
807,404,202,101,68,34,17,7
808,404,202,101,68,34,17,7
809,405,203,102,68,34,17,7
810,405,203,102,68,34,17,7
811,406,203,102,68,34,17,7
812,406,203,102,68,34,17,7
813,407,204,102,68,34,17,7
814,407,204,102,68,34,17,7
815,408,204,102,68,34,17,7
816,408,204,102,68,34,17,7
817,409,205,103,69,35,18,7
818,409,205,103,69,35,18,7
819,410,205,103,69,35,18,7
820,410,205,103,69,35,18,7
821,411,206,103,69,35,18,7
822,411,206,103,69,35,18,7
823,412,206,103,69,35,18,7
824,412,206,103,69,35,18,7
825,413,207,104,69,35,18,7
826,413,207,104,69,35,18,7
827,414,207,104,69,35,18,7
828,414,207,104,69,35,18,7
829,415,208,104,70,35,18,7
830,415,208,104,70,35,18,7
831,416,208,104,70,35,18,7
832,416,208,104,70,35,18,7
833,417,209,105,70,35,18,7
834,417,209,105,70,35,18,7
835,418,209,105,70,35,18,7
836,418,209,105,70,35,18,7
837,419,210,105,70,35,18,7
838,419,210,105,70,35,18,7
839,420,210,105,70,35,18,7
840,420,210,105,70,35,18,7
841,421,211,106,71,36,18,8
842,421,211,106,71,36,18,8
843,422,211,106,71,36,18,8
844,422,211,106,71,36,18,8
845,423,212,106,71,36,18,8
846,423,212,106,71,36,18,8
847,424,212,106,71,36,18,8
848,424,212,106,71,36,18,8
849,425,213,107,71,36,18,8
850,425,213,107,71,36,18,8
851,426,213,107,71,36,18,8
852,426,213,107,71,36,18,8
853,427,214,107,72,36,18,8
854,427,214,107,72,36,18,8
855,428,214,107,72,36,18,8
856,428,214,107,72,36,18,8
857,429,215,108,72,36,18,8
858,429,215,108,72,36,18,8
